Symbol,Name,Index,Description,Category,Provider,Expense_Ratio,Dividend,Div_Yield,Market_Cap,Shares,Avg_Vol,Beta,Asset,Size,Style,Region,Sector,Leveraged,Inverse,Top_Holdings,Chart
AGQ,ProShares Ultra Silver,Silver bullion (200%),"ProShares Ultra Silver seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of silver bullion as measured by the U.S. Dollar fixing price for delivery in London.",Leveraged Commodities,ProShares,0.9500%,$0,0%,$171.48,3,"472,682",0,Commodity,,,,,2x,,
AGZ,iShares Barclays Agency Bond,Barclays Capital U.S. Agency Bond Index,The index measures the performance of the agency sector of the U.S. government bond market.,Government Bonds,iShares,0.200%,$0.17,0.2400%,$318.54,3,"20,862",0,Bond,,,,,,,
AIA,iShares S&P Asia 50,S&P Asia 50 Index,"The index measures the performance of 50 leading companies from four Asian countries: Hong Kong, South Korea, Singapore, and Taiwan.",Emerging Markets Equities,iShares,0.500%,$0.34,2.3100%,$146.68,4,"29,240",1,Equity,,,Asia,,,,
ALT,Diversified Alternatives Trust,n/a,This ETF is not linked to a specific benchmark.,Hedge Fund,iShares,0.9500%,$0,0%,$54.64,1,"28,702",0,Multi-Asset,,,,,,,
AMJ,JPMorgan Alerian MLP Index ETN,Alerian MLP Index,"The Alerian MLP Index is a market-cap weighted, float-adjusted index created to provide a comprehensive benchmark for investors to track the performance of the energy MLP sector. The majority of MLPs currently operate in the energy infrastructure industry, owning assets such as pipelines that transport crude oil, natural gas and other refined petroleum products.",Energy Equities,JP Morgan,0.8500%,$0.45,1.4100%,"$1,276",40,"531,331",0,Equity,,,U.S.,Energy,,,
AOA,iShares S&P Aggressive Allocation,S&P Target Risk Aggressive Index,The Index is designed to measure the performance of S&P's proprietary aggressive target risk allocation model,Diversified Portfolio,iShares,0.3400%,$0.21,2.3500%,$43.95,2,"13,702",1,Multi-Asset,,,,,,,
AOK,iShares S&P Conservative Allocation,S&P Target Risk Conservative Index,The Index is designed to measure the performance of S&P's proprietary conservative target risk allocation model,Diversified Portfolio,iShares,0.3100%,$0.08,2.8700%,$34.4,1,"10,604",0,Multi-Asset,,,,,,,
AOM,iShares S&P Moderate Allocation,S&P Target Risk Moderate Index,The Index is designed to measure the performance of S&P's proprietary moderate target risk allocation model,Diversified Portfolio,iShares,0.3200%,$0.17,2.1100%,$54.61,2,"15,360",0,Multi-Asset,,,,,,,
AOR,iShares S&P Growth Allocation,S&P Target Risk Growth Index,The Index is designed to measure the performance of S&P's proprietary growth target risk allocation model,Diversified Portfolio,iShares,0.3300%,$0.2,2.3900%,$55.57,2,"14,174",0,Multi-Asset,,,,,,,
ASO,AirShares EU Carbon Allowances,n/a,This ETF is not linked to a specific benchmark.,Commodities,XShares,0.8500%,n/a,n/a,n/a,n/a,n/a,n/a,Commodity,,,,,,,
AXFN,MSCI ACWI ex US Financials Sector Index Fund,MSCI All Country World ex USA Financials Index,"The index is a free float-adjusted, market capitalization-weighted index designed to measure the combined equity market performance of the financials sector of developed and emerging markets countries, excluding the United States. Component securities include those of banks, diversified financial companies, insurance companies, and real estate companies.",Financials Equities,iShares,0.4800%,$0,0%,$2.19,0,"1,764",0,Equity,Large-Cap,,Ex-U.S.,Financial,,,
AYT,Barclays GEMS Asia-8 ETN,Barclays Global Emerging Market Strategy (GEMS) Asia 8 Index,"The index is designed to replicate exposure to local currencies in eight Asian markets through short-term, liquid and diversified instruments. Currently, the index includes the following eight currencies: the Indonesian rupiah, the Indian rupee, the Philippine peso, the South Korean won, the Thai baht, the Malaysian ringgit, the Taiwanese dollar and the Chinese yuan.",Currency,Barclays iPath,0.8900%,$0.08,5.4400%,$5.43,0,"1,940",1,Currency,,,,,,,
BAB,Build America Bond Portfolio,BofA Merrill Lynch Build America Bond Index,"The Index is designed to track the performance of U.S. dollar-denominated Build America Bonds publicly issued by U.S. states and territories, and their political subdivisions, in the U.S. market.",National Munis,Invesco PowerShares,0.3500%,$0.12,0%,$329.75,13,"214,777",0,Bond,,,U.S.,,,,
BABS,SPDR Nuveen Barclays Capital Build America Bond ETF,Barclays Capital Build America Bond Index,The index consists of all direct pay Build America Bonds that satisfy the rules of the Barclays Capital Taxable Municipal Index.,National Munis,State Street,0.3500%,$0.24,0%,$9.92,0,"13,151",0,Bond,,,,,,,
BAL,iPath Dow Jones-AIG Cotton Total Return Sub-IndexSM ETN,Dow Jones-UBS Cotton Subindex Total Return,The Dow Jones-UBS Cotton Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of cotton.,Commodities,Barclays iPath,0.7500%,$0,0%,$9.04,0,"6,213",1,Commodity,,,,,,,
BBH,HOLDRS Biotech,n/a,This ETF is not linked to a specific benchmark.,Health & Biotech Equities,Merrill Lynch HOLDRs,n/a,$0.02,0.0300%,$720.2,8,"62,246",0,Equity,,,Global/Multi-Region,Health & Biotech,,,
BDD,PowerShares DB Base Metals Dble Long ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals (200%),"The index is designed to reflect the performance of certain futures contracts on aluminum, copper and zinc plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares,0.7500%,$0,0%,$16.45,1,"76,213",1,Commodity,,,,,2x,,
BDG,PowerShares DB Base Metals Long ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals,"The Index is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals - aluminum, zinc and copper (grade A). The index is intended to reflect the performance of the industrial metals sector.",Metals,Invesco PowerShares,0.7500%,$0.34,0%,$3.87,0,"1,960",1,Commodity,,,,,,,
BDH,HOLDRS Broadband,n/a,This ETF is not linked to a specific benchmark.,Technology Equities,Merrill Lynch HOLDRs,n/a,$0,1.3900%,$81.5,8,"14,537",1,Equity,,,U.S.,Technology,,,
BGU,Direxion Large Cap Bull 3X Shares,Russell 1000 Index (300%),The Russell 1000 Index measures the performance of the large-cap segment of the U.S. equity universe. It is a subset of the Russell 3000 Index and includes approximately 1000 of the largest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion,0.9500%,$0.06,0.3400%,$247.81,6,"5,638,810",2,Equity,Large-Cap,Blend,U.S.,,3x,,
BGZ,Direxion Large Cap Bear 3X Shares,Russell 1000 Index (-300%),The Russell 1000 Index measures the performance of the large-cap segment of the U.S. equity universe. It is a subset of the Russell 3000 Index and includes approximately 1000 of the largest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion,0.9500%,$0,0%,$259.28,16,"8,984,130",-2,Equity,Large-Cap,Blend,U.S.,,3x,Yes,
BHH,HOLDRS B2B Internet,n/a,This ETF is not linked to a specific benchmark.,Technology Equities,Merrill Lynch HOLDRs,n/a,$0.34,0%,$5.9,9,"35,715",1,Equity,,,U.S.,Technology,,,
BIB,Ultra Nasdaq Biotechnology,NASDAQ Biotechnology Index (200%),The index contains NASDAQ listed companies classified as either biotechnology or pharmaceuticals companies.,Leveraged Equities,ProShares,0.9500%,$0,0%,$4.22,0,"2,457",0,Equity,,,U.S.,Health & Biotech,2x,,
BICK,BICK Index Fund,ISE BICK Index,"The index is designed to track the largest and most liquid public companies that are domiciled in Brazil, India, Mainland China and South Korea.",Emerging Markets Equities,First Trust,0.700%,$0,0%,$9.86,0,"12,085",0,Equity,Large-Cap,Blend,Emerging Markets,,,,
BIK,SPDR S&P BRIC 40,S&P BRIC 40 Index,"The S&P BRIC 40 Index includes a subset of the constituents of the S&P/IFC Investable (S&P/IFCI) country indices for Brazil, Russia, India or China. The S&P/IFCI Index series is designed to measure the type of returns foreign portfolio investors might receive from investing in emerging market stocks that are legally and practically available to them. Constituents for the S&P/IFCI series are drawn from the S&P/IFC Global stock universe based on size, liquidity and their legal and practical availability to foreign institutional investors.",Emerging Markets Equities,State Street,0.500%,$0.29,1.7900%,$407.66,17,"146,463",1,Equity,,,BRIC,,,,
BIL,SPDR Lehman 1-3 Month T-Bill ETF,Barclays Capital U.S. 1-3 Month Treasury Bill Index,"The Barclays Capital 1-3 Month U.S. Treasury Bill Index includes all publicly issued zero-coupon U.S. Treasury Bills that have a remaining maturity of less than 3 months and more than 1 month, are rated investment grade, and have $250 million or more of outstanding face value. In addition, the securities must be denominated in U.S. dollars and must be fixed rate and non convertible.",Money Market,State Street,0.1300%,$0,0.0300%,$990.36,22,"624,794",0,Bond,,,,,,,
BIS,UltraShort Nasdaq Biotechnology,NASDAQ Biotechnology Index (-200%),The index contains NASDAQ listed companies classified as either biotechnology or pharmaceuticals companies.,Leveraged Equities,ProShares,0.9500%,$0,0%,$7.7,0,"1,465",0,Equity,,,U.S.,Health & Biotech,2x,Yes,
BIV,Vanguard Intermediate-Term Bond ETF,Barclays Capital U.S. 5-10 Year Government/Credit Bond Index,"This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 5 and 10 years and are publicly issued.",Total Bond Market,Vanguard,0.1400%,$0.27,4.200%,"$1,697.48",20,"165,798",0,Bond,,,,,,,
BJK,Market Vectors Gaming ETF,S-Network Global Gaming Index,The Index provides exposure to publicly traded companies worldwide that derive greater than 50% of revenues from the global gaming industry.,Miscellaneous Sector Equities,Van Eck,0.6500%,$0.23,0.9700%,$103.66,4,"20,969",1,Equity,,,Global/Multi-Region,Retail & Consumer,,,
BKF,iShares MSCI BRIC Index Fund,MSCI BRIC Index,"The index measures the combined equity market performance in Brazil, Russia, India, and China.",Emerging Markets Equities,iShares,0.7200%,$0.4,1.5500%,$931.38,22,"243,433",1,Equity,,,BRIC,,,,
BLV,Vanguard Long-Term Bond ETF,Barclays Capital U.S. Long Government/Credit Bond Index,"The Barclays Capital Long Government/Credit Index measures the investment return of all medium and larger public issues of U.S. Treasury, agency, investment-grade corporate, and investment-grade international dollar-denominated bonds with maturities longer than 10 years. The average maturity is approximately 20 years.",Total Bond Market,Vanguard,0.1400%,$0.32,4.9600%,$396.9,5,"59,705",0,Bond,,,,,,,
BND,Vanguard Total Bond Market ETF,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,Vanguard,0.1400%,$0.23,3.9100%,"$7,630.57",94,"724,885",0,Bond,,,,,,,
BNZ,WisdomTree Dreyfus New Zealand Dollar Fund,New Zealand Dollar,WisdomTree Dreyfus New Zealand Dollar Fund seeks to achieve total returns reflective of both money market rates in New Zealand available to foreign investors and changes in value of the New Zealand Dollar relative to the U.S. dollar.,Currency,Wisdom Tree,0.4500%,$0.13,0.5800%,$18.02,1,"11,111",1,Currency,,,,,,,
BOM,PowerShares DB Base Metals Dble Shrt ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals (-200%),"The index is designed to reflect the performance of certain futures contracts on aluminum, copper and zinc plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares,0.7500%,$0,0%,$9.09,0,"21,302",-1,Commodity,,,,,2x,Yes,
BOS,PowerShares DB Base Metals Short ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals (-100%),"The index is designed to reflect the performance of certain futures contracts on aluminum, copper and zinc plus the returns from investing in 3 month United States Treasury Bills.",Inverse Commodities,Invesco PowerShares,0.7500%,$0,0%,$8.66,0,"18,442",-1,Commodity,,,,,,Yes,
BRF,Market Vectors Brazil Small-Cap ETF,Market Vectors Brazil Small-Cap Index,The Index provides exposure to publicly traded small capitalization companies that are domiciled and primarily listed on an exchange in Brazil or that generate at least 50% of their revenues in Brazil.,Latin America Equities,Van Eck,0.6500%,$0.01,0.1300%,$680.6,15,"373,805",0,Equity,Small-Cap,,Brazil,,,,
BRIL,Daily BRIC Bull 2x Shares  ,Bank of New York Mellon BRIC Select ADR Index (200%),"The index is comprised of American depositary receipts and global depositary receipts selected, based on liquidity, from a universe of all listed depositary receipts of companies from Brazil, Russia, India and China currently trading on U.S. exchanges.",Leveraged Equities,Direxion,0.9500%,$0.18,0%,$5.1,0,"2,746",0,Equity,Large-Cap,,BRIC,,2x,,
BRIS,Daily BRIC Bear 2x Shares,Bank of New York Mellon BRIC Select ADR Index (-200%),"The index is comprised of American depositary receipts and global depositary receipts selected, based on liquidity, from a universe of all listed depositary receipts of companies from Brazil, Russia, India and China currently trading on U.S. exchanges.",Leveraged Equities,Direxion,0.9500%,$0,0%,$3.99,0,"3,057",0,Equity,Large-Cap,,BRIC,,2x,Yes,
BRXX,Brazil Infrastructure Index Fund,INDXX Brazil Infrastructure Index,"The Index is a free-float capitalization weighted stock market index comprised of 30 leading companies that INDXX, LLC deems to be representative of Brazil's infrastructure sectors.",Latin America Equities,EG Shares,0.8500%,$0,0%,$25.86,1,"40,024",0,Equity,,,Brazil,Utilities,,,
BSC,ELEMENTS BG Small Cap ETN,Benjamin Graham Small Cap Value Index - Total Return,"The Index tracks the value of a portfolio of small-cap U.S. stocks that are selected according to the Benjamin Graham Methodology. The methodology seeks to identify businesses with strong, liquid balance sheets that trade at a discount to their implied intrinsic value, implementing the investment principles of Benjamin Graham through a quantitative, objective process utilizing modern portfolio theory and statistical analysis.",Small Cap Value Equities,ELEMENTS,0.7500%,$0.32,0%,$3.74,0,"5,093",1,Equity,Small-Cap,Value,U.S.,,,,
BSR,BearLinx Alerian MLP Select Index ETN,n/a,This ETF is not linked to a specific benchmark.,Energy Equities,JP Morgan,0.8500%,n/a,n/a,n/a,n/a,n/a,n/a,Commodity,,,,,,,
BSV,Vanguard Short-Term Bond ETF,Barclays Capital U.S. 1-5 Year Government/Credit Bond Index,"This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities of between 1 and 5 years and are publicly issued.",Total Bond Market,Vanguard,0.1400%,$0.15,2.6400%,"$4,853.4",60,"498,370",0,Bond,,,,,,,
BVL,ELEMENTS BG Large Cap ETN,Benjamin Graham Large Cap Value Index - Total Return,"The Index tracks the value of a portfolio of large-cap U.S. stocks that are selected according to the Benjamin Graham Methodology. The methodology seeks to identify businesses with strong, liquid balance sheets that trade at a discount to their implied intrinsic value, implementing the investment principles of Benjamin Graham through a quantitative, objective process utilizing modern portfolio theory and statistical analysis.",Large Cap Value Equities,ELEMENTS,0.7500%,$0,0%,$3.62,0,"1,010",0,Equity,Large-Cap,Value,U.S.,,,,
BVT,ELEMENTS BG Total Market ETN,Benjamin Graham Total Market Value Index - Total Return,"The Index tracks the value of a portfolio of companies drawn from the 3,000 largest U.S. companies by market capitalization that are selected according to the Benjamin Graham Methodology. The methodology seeks to identify businesses with strong, liquid balance sheets that trade at a discount to their implied intrinsic value, implementing the investment principles of Benjamin Graham through a quantitative, objective process utilizing modern portfolio theory and statistical analysis.",Large Cap Value Equities,ELEMENTS,0.7500%,$0,0%,$3.56,0,"1,585",1,Equity,Large-Cap,Value,U.S.,,,,
BWV,iPath CBOE S&P 500 BuyWrite Index ETN,CBOE S&P 500 BuyWrite Index,"The Index is designed to measure the total rate of return of a hypothetical ""buy-write"", or ""covered call"", strategy on the S&P 500 Index. This strategy consists of a hypothetical portfolio consisting of a ""long"" position indexed to the S&P 500 Index (i.e. purchasing the common stocks included in the S&P 500 Index) and the sale of a succession of one-month, at- or slightly out-of-the-money S&P 500 Index call options that are listed on the Chicago Board Options Exchange.",Long-Short,Barclays iPath,0.7500%,$0,0%,$14.97,0,"2,483",1,Equity,Large-Cap,Blend,U.S.,,,,
BWX,SPDR Lehman Intl Treasury Bd,Barclays Capital Global Treasury Ex-US Capped Index,"The Barclays Capital Global Treasury Ex-US Capped Index includes government bonds issued by investment-grade countries outside the United States, in local currencies, that have a remaining maturity of one year or more and are rated investment grade",International Government Bonds,State Street,0.500%,$0.16,2.3900%,"$1,008.14",18,"206,910",0,Bond,,,,,,,
BWZ,SPDR Barclays Capital Short Term International Treasury Bond ETF,Barclays Capital 1-3 Year Global Treasury ex-US Capped Index,The Barclays Capital 1-3 Year Global Treasury ex-US Capped Index measures the performance of fixed-rate local currency sovereign debt of investment grade countries outside the United States that have remaining maturities of one to three years.,International Government Bonds,State Street,0.500%,$0.07,0.1500%,$140.54,4,"27,954",0,Bond,,,,,,,
BXDB,Barclays Short B Leveraged Inverse S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Inverse Equities,Barclays iPath,0.400%,$0,0%,$4.58,0,"6,014",0,Equity,Large-Cap,Blend,U.S.,,,Yes,
BXDC,Barclays Short C Leveraged Inverse S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath,0.400%,$0,0%,$4.61,0,"12,970",0,Equity,Large-Cap,Blend,U.S.,,2x,Yes,
BXDD,Barclays Short D Leveraged Inverse S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath,0.400%,$0,0%,$3.03,0,"15,505",0,Equity,Large-Cap,Blend,U.S.,,3x,Yes,
BXUB,Barclays Long B Leveraged S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath,0.7500%,$0,0%,$4.45,0,"13,796",0,Equity,Large-Cap,Blend,U.S.,,3x,,
BXUC,Barclays Long C Leveraged S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath,0.7500%,$0,0%,$10.09,0,"32,087",0,Equity,Large-Cap,Blend,U.S.,,2x,,
BZF,WisdomTree Dreyfus Brazilian Real Fund,Brazilian Real,WisdomTree Dreyfus Brazilian Real Fund seeks to achieve total returns reflective of both money market rates in Brazil available to foreign investors and changes in value of the Brazilian Real relative to the U.S. dollar.,Currency,Wisdom Tree,0.4500%,$0.17,0.6200%,$153.27,6,"77,262",1,Currency,,,,,,,
BZQ,ProShares UltraShort MSCI Brazil,MSCI Brazil Index (-200%),"ProShares Ultrashort MSCI Brazil seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the MSCI Brazil Index.",Leveraged Equities,ProShares,0.9500%,$0,0%,$38.03,2,"150,314",0,Equity,,,Brazil,,2x,Yes,
CEW,WisdomTree Dreyfus Emerging Currency Fund,n/a,This ETF is not linked to a specific benchmark.,Currency,Wisdom Tree,0.5500%,$0,0%,$423.51,20,"237,359",0,Currency,,,,,,,
CFT,iShares Lehman Credit Bond Fund,Barclays Capital U.S. Credit Bond Index,The index measures the performance of investment grade corporate debt and agency bonds that are dollar denominated and have a remaining maturity of greater than one year.,Corporate Bonds,iShares,0.200%,$0.4,5.1300%,$612.12,6,"50,281",0,Bond,,,,,,,
CGW,Claymore S&P Global Water,S&P Global Water Index,"The S&P Global Water Index is comprised of approximately 50 securities selected based on the relative importance of the global water industry within the company's business model from a universe of companies listed on global developed market exchanges. The Index is designed to have a balanced representation from different segments of the water industry consisting of the following two clusters: 25 water utilities and infrastructure companies (water supply, water utilities, waste water treatment, water, sewer and pipeline construction, water purification, water well drilling, and water testing) and 25 water equipment and materials companies (water treatment chemicals, water treatment appliances, pumps and pumping equipment, fluid power pumps and motors, plumbing equipment, totalizing fluid meters and counting devices)",Miscellaneous Sector Equities,Claymore,0.6500%,$0.2,7.1200%,$222.53,13,"86,357",1,Equity,,,Global/Multi-Region,Industrial,,,
CHIB,Global X China Technology ETF,S-BOX China Technology Index,The S-BOX China Technology Index is designed to reflect the performance of the technology sector in China. It is made up of securities of companies which have their main business operations in the technology sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X,0.6500%,$0,0%,$3.54,0,"5,276",0,Equity,Large-Cap,,China,Technology,,,
CHIE,Global X China Energy ETF,S-BOX China Energy Index,The S-BOX China Energy Index is designed to reflect the performance of the energy sector in China. It is made up of securities of companies which have their main business operations in the energy sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X,0.6500%,$0,0%,$4.07,0,"7,893",0,Equity,Large-Cap,,China,Energy,,,
CHII,China Industrials ETF,S-BOX China Industrials Index,The S-BOX China Industrials Index is designed to reflect the performance of the industrial sector in China. It is made up of securities of companies which have their main business operations in the industrial sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X,0.6500%,$0,0%,$23.99,2,"18,974",0,Equity,Large-Cap,Blend,China,Industrial,,,
CHIM,China Materials ETF,S-BOX China Materials Index,The S-BOX China Materials Index is designed to reflect the performance of the materials sector in China. It is made up of securities of companies which have their main business operations in the materials sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X,0.6500%,$0,0%,$12.66,1,"28,286",0,Equity,Large-Cap,Blend,China,Materials,,,
CHIQ,China Consumer ETF,S-BOX China Consumer Index,The S-BOX China Consumer Index is designed to reflect the performance of the consumer sector in China. It is made up of securities of companies which have their main business operations in the consumer sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X,0.6500%,$0,0%,$38.31,2,"69,940",0,Equity,Large-Cap,Blend,China,Consumer Discretionary,,,
CHIX,Global X China Financials ETF,S-BOX China Financials Index,The S-BOX China Financials Index is designed to reflect the performance of the financial sector in China. It is made up of securities of companies which have their main business operations in the financial sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X,0.6500%,$0,0%,$73.44,5,"126,952",0,Equity,Large-Cap,,China,Financial,,,
CHXX,INDXX China Infrastructure Index Fund,INDXX China Infrastructure Index,"The Index is a free-float market capitalization weighted stock market index comprised of 30 leading companies that INDXX, LLC determines to be representative of China's infrastructure sector.",China Equities,EG Shares,0.8500%,$0,0%,$6.72,0,"16,078",0,Equity,Mid-Cap,,China,Utilities,,,
CIU,iShares Lehman Intermediate Credit Bond Fund,Barclays Capital U.S. Intermediate Credit Bond Index,The index measures the performance of investment grade corporate debt and agency bonds that are dollar denominated and have a remaining maturity of greater than one year and less than ten years.,Corporate Bonds,iShares,0.200%,$0.37,5.0200%,"$2,626.75",25,"169,353",0,Bond,,,,,,,
CLY,iShares 10+ Year Credit Bond Fund,BofA Merrill Lynch 10+ Year US Corporate & Yankees Index,"The index includes debt securities issued publicly by U.S. corporations and U.S. dollar-denominated, publicly issued debt of non-U.S. corporations, non-U.S. government debt and supranational debt.",Corporate Bonds,iShares,0.200%,$0.24,0%,$15.72,0,"2,534",0,Bond,,,,,,,
CMD,ProShares UltraShort DJ-AIG Commodity,Dow Jones-UBS Commodity Index (-200%),"ProShares UltraShort DJ-UBS Commodity seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of The Dow Jones-UBS Commodity Index",Leveraged Commodities,ProShares,0.9500%,$0,0%,$5.77,0,"14,305",0,Commodity,,,,,2x,Yes,
CMF,iShares S&P Cali Muni Bond,S&P California AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the California municipal bond market.,California Munis,iShares,0.2500%,$0.35,3.700%,$215.08,2,"7,670",0,Bond,,,,,,,
CNDA,IQ Canada Small Cap ETF,IQ Canada Small Cap Index,The IQ Canada Small Cap Index is a market cap-weighted index that seeks to provide investors with a means of tracking the overall performance of the small capitalization sector of publicly traded companies domiciled and primarily listed on an exchange in Canada.,Foreign Small & Mid Cap Equities,IndexIQ,0.6900%,$0,0%,$8.25,0,"9,254",0,Equity,Small-Cap,,Canada,,,,
CNY,Market Vectors-Chinese Renminbi/USD ETN,S&P Chinese Renminbi Total Return Index,Tracks the exchange rate of the U.S. Dollar against the Chinese Yuan.,Currency,Van Eck,0.5500%,$0.09,0%,$24.82,1,"7,710",0,Currency,,,,,,,
